,Model,Babe,Fanbelt,Fluffy,Murph,Roxy,,,Model,Babe,Fanbelt,Fluffy,Murph,Roxy,
8,m6,18473.84831,14853.20708,9558.643392,8755.929674,8887.493045,,,m6,0.00,0.00,0.00,0.00,0.00,
7,m4,18475.04291,14860.04976,9560.349617,8762.314743,8896.676016,,,m4,1.19,6.84,1.71,6.39,9.18,
6,m2,18475.09659,14864.69911,9594.79661,8766.385624,8915.122489,,,m2,1.25,11.49,36.15,10.46,27.63,
5,m7,18475.61521,14857.11553,NA,8760.415938,8890.551558,,,m7,1.77,3.91,#VALUE!,4.49,3.06,
4,m3,18572.63974,15151.55791,9635.665101,8902.919,8997.986908,,,m3,98.79,298.35,77.02,146.99,110.49,
3,m0,18573.06566,15150.1482,9654.885072,8931.80605,8996.95269,,,m0,99.22,296.94,96.24,175.88,109.46,
2,m5,18574.53705,15152.23501,9636.100644,8904.709421,8996.08296,,,m5,100.69,299.03,77.46,148.78,108.59,
1,m1,18576.68827,15139.8105,NA,8925.870944,9000.285139,,,m1,102.84,286.60,#VALUE!,169.94,112.79,
,,,,,,,,,,,,,,,
,Model,iHlane,PokeJr,Ntombi,Stud,Thembi,Zulu,,Model,iHlane,PokeJr,Ntombi,Stud,Thembi,Zulu
,m7,9077.519183,18362.26966,16873.025,6646.079018,19223.92554,3871.324031,,m7,0.00,0.00,0.00,0.00,0.00,0.00
,m6,9088.77578,18398.35497,16882.057,6680.161443,19233.13946,3877.444307,,m6,11.26,36.09,9.03,34.08,9.21,6.12
,m2,9095.398875,18420.47291,16881.25906,6685.415852,19247.95714,3880.622958,,m2,17.88,58.20,8.23,39.34,24.03,9.30
,m4,9097.163141,18420.56249,16881.85582,6683.722558,19233.44519,3881.222536,,m4,19.64,58.29,8.83,37.64,9.52,9.90
,m1,9168.908971,18920.83729,16932.87077,6691.432552,19377.83546,3933.2665,,m1,91.39,558.57,59.85,45.35,153.91,61.94
,m3,9173.510338,18960.66062,16944.92834,6739.370142,19399.28501,3937.192444,,m3,95.99,598.39,71.90,93.29,175.36,65.87
,m5,9175.507261,18958.94303,16946.68653,6738.884288,19400.13501,3938.479721,,m5,97.99,596.67,73.66,92.81,176.21,67.16
,m0,9185.633027,18959.01692,16944.97474,6737.854468,19398.75376,3937.011156,,m0,108.11,596.75,71.95,91.78,174.83,65.69
,,,,,,,,,,,,,,,
,Model,Koku,Madonna,,,,,,Model,Koku,Madonna,,,,
,m4,2109.563085,7666.697123,,,,,,m4,0.00,0.00,,,,
,m2,2110.21131,7670.515884,,,,,,m2,0.65,3.82,,,,
,m7,2110.575363,7667.170866,,,,,,m7,1.01,0.47,,,,
,m6,2112.99792,7670.618717,,,,,,m6,3.43,3.92,,,,
,m1,2126.799798,7670.364875,,,,,,m1,17.24,3.67,,,,
,m0,2135.496402,7673.557186,,,,,,m0,25.93,6.86,,,,
,m3,2137.036402,7675.357176,,,,,,m3,27.47,8.66,,,,
,m5,2138.565371,7677.076062,,,,,,m5,29.00,10.38,,,,
